amp,A,trade_size,trade_size_pct,dy,dy_over_dx,slippage,slippage_bps,fee,trade_size_pct_display,slippage_bps_display,A_label
5000,50.0,1000000000000000,0.001,999980392522477,0.999980392522477,1.9607477523053696e-05,0.19607477523053696,0,0.1,0.19607477523053696,A=50
5000,50.0,2000000000000000,0.002,1999921571401561,0.9999607857007805,3.9214299219492155e-05,0.39214299219492155,0,0.2,0.39214299219492155,A=50
5000,50.0,5000000000000000,0.005,4999509840199453,0.9999019680398906,9.803196010937931e-05,0.9803196010937931,0,0.5,0.9803196010937931,A=50
5000,50.0,10000000000000000,0.01,9998039411707034,0.9998039411707034,0.00019605882929663032,1.9605882929663032,0,1.0,1.9605882929663032,A=50
5000,50.0,20000000000000000,0.02,19992156924258935,0.9996078462129467,0.0003921537870532621,3.921537870532621,0,2.0,3.921537870532621,A=50
5000,50.0,50000000000000000,0.05,49950910682620652,0.9990182136524131,0.0009817863475869437,9.817863475869437,0,5.0,9.817863475869437,A=50
5000,50.0,100000000000000000,0.1,99802413976541830,0.9980241397654183,0.001975860234581739,19.758602345817387,0,10.0,19.758602345817387,A=50
10000,100.0,100000000000000,0.0001,99999900990196,0.99999900990196,9.900980399990544e-07,0.009900980399990544,0,0.01,0.009900980399990544,A=100
10000,100.0,200000000000000,0.0002,199999603961164,0.99999801980582,1.9801941799624245e-06,0.019801941799624245,0,0.02,0.019801941799624245,A=100
10000,100.0,500000000000000,0.0005,499997524764122,0.999995049528244,4.950471755971186e-06,0.049504717559711864,0,0.05,0.049504717559711864,A=100
10000,100.0,1000000000000000,0.001,999990099098224,0.999990099098224,9.900901775994342e-06,0.09900901775994342,0,0.1,0.09900901775994342,A=100
10000,100.0,2000000000000000,0.002,1999960396668539,0.9999801983342695,1.980166573045672e-05,0.1980166573045672,0,0.2,0.1980166573045672,A=100
10000,100.0,5000000000000000,0.005,4999752481435184,0.9999504962870368,4.950371296319478e-05,0.4950371296319478,0,0.5,0.4950371296319478,A=100
10000,100.0,10000000000000000,0.01,9999009901970393,0.9999009901970393,9.900980296073669e-05,0.9900980296073669,0,1.0,0.9900980296073669,A=100
10000,100.0,20000000000000000,0.02,19996038835417549,0.9998019417708774,0.00019805822912255522,1.9805822912255522,0,2.0,1.9805822912255522,A=100
10000,100.0,50000000000000000,0.05,49975199053413987,0.9995039810682798,0.0004960189317202435,4.960189317202435,0,5.0,4.960189317202435,A=100
10000,100.0,100000000000000000,0.1,99900110864758514,0.9990011086475852,0.0009988913524148213,9.988913524148213,0,10.0,9.988913524148213,A=100
50000,500.0,100000000000000,0.0001,99999980039923,0.99999980039923,1.9960077002334486e-07,0.0019960077002334486,0,0.01,0.0019960077002334486,A=500
50000,500.0,200000000000000,0.0002,199999920159709,0.999999600798545,3.9920145500360604e-07,0.00399201455003606,0,0.02,0.00399201455003606,A=500
50000,500.0,500000000000000,0.0005,499999500998377,0.999999001996754,9.980032460443766e-07,0.009980032460443766,0,0.05,0.009980032460443766,A=500
50000,500.0,1000000000000000,0.001,999998003994011,0.999998003994011,1.996005989046701e-06,0.019960059890467008,0,0.1,0.019960059890467008,A=500
50000,500.0,2000000000000000,0.002,1999992015968127,0.9999960079840635,3.992015936482574e-06,0.039920159364825736,0,0.2,0.039920159364825736,A=500
50000,500.0,5000000000000000,0.005,4999950099055876,0.9999900198111752,9.980188824809666e-06,0.09980188824809666,0,0.5,0.09980188824809666,A=500
50000,500.0,10000000000000000,0.01,9999800383304301,0.9999800383304301,1.9961669569856788e-05,0.19961669569856788,0,1.0,0.19961669569856788,A=500
50000,500.0,20000000000000000,0.02,19999201310501440,0.999960065525072,3.993447492800506e-05,0.3993447492800506,0,2.0,0.3993447492800506,A=500
50000,500.0,50000000000000000,0.05,49994998025480928,0.9998999605096186,0.00010003949038139837,1.0003949038139837,0,5.0,1.0003949038139837,A=500
50000,500.0,100000000000000000,0.1,99979843224072946,0.9997984322407295,0.00020156775927049342,2.015677592704934,0,10.0,2.015677592704934,A=500
